質問,回答
"BuyChemJapanとは何ですか？","BuyChemJapanは、プロフェッショナルなグローバル化学品バイヤーとメーカーのためのグローバルなB2Bマーケットプレイスプラットフォームです。透明で公正な取引環境を提供し、バイヤーが直接メーカーと交流できる場を提供します。"
"BuyChemJapanの目的は何ですか？","BuyChemJapanの目的は、化学品マーケットプレイスのユーザーインターフェースとユーザーエクスペリエンスを向上させ、コンバージョン率を高めることです。バイヤーに対して包括的で正確な化学製品情報を提供し、シームレスで有益な購入体験を保証します。"
"BuyChemJapanでのタスクとは何ですか？","タスクは、メーカーのウェブサイトやその他のソースから情報を引用し、ワークシートに追加することです。正確に入力された詳細の数に基づいて報酬が支払われ、誤りがある場合はペナルティが課せられます。"
"マニュアルの概要を教えてください。","このマニュアルは、タスクの基本知識と詳細な手順を提供します。作業を開始する前に十分に確認し、質問がある場合はお問い合わせください。手順を理解し、正確にタスクを実行してください。"
"情報抽出のルールは何ですか？","当マーケットプレイスでは、化学品および原材料のみがリストされています。それ以外のメーカー製品のリストは許可されていません。"
"情報抽出の事前知識として必要な用語は何ですか？","以下の用語に慣れてください：
- 化学名：広く使用・認識されているが、化学構造に関する詳細情報を提供しない名前。
- 製品名：メーカーが割り当てた製品ブランド名。
- グレード名：化学品の純度や品質に基づく分類名。
- CAS番号：化学物質に割り当てられた一意の識別子。
- イオニシティ：化学結合がイオン性である度合い。"
"作業ガイドラインとヒントの概要は何ですか？","1. EntrySheetにアクセスします。すべてのタスクはMicrosoft TeamsのEntrySheetで準備されています。
2. 指定されたメーカーのウェブサイトを訪問します。Column Aにはメーカーの製品ページへのリンクが含まれています。リンクがない場合はメーカーのウェブサイトをGoogleで検索します。
3. メーカーのウェブサイトから製品情報を抽出し、EntrySheetに入力します。"
"情報抽出の詳細ガイドラインと考慮事項について教えてください。","詳細なガイドラインとして、化学名や製品名の翻訳に伴う誤差の取り扱い、CAS番号の正確な比較方法、製品の外観やイオニシティの記録方法などがあります。具体的な手順に従い、正確に情報を入力してください。"
"コミッションの仕組みを教えてください。","製品名、グレード名、濃度、状態（Column D）の誤りを修正するとUSD0.04、CAS番号（Column E）の誤りを修正するとUSD0.04、指定された参照ソースから正確に情報を入力するとUSD0.02が支払われます。"
"ペナルティの内容は何ですか？","メーカーのホームページ以外から情報を抽出した場合、誤った情報を記録した場合、誤ったセルに情報を入力した場合などにペナルティが課せられます。ペナルティの金額は修正箇所に応じて異なります。"
"マニュアルにない質問の場合、どうなりますか？","マニュアルにない質問に対しては、AIが回答を提供します。その際、「この質問はマニュアルに存在しませんでした。」という注釈が付きます。"
"HSコードとは何ですか？","HSコードは、貿易目的で製品を分類するために国際的に使用される標準化された数値コードです。関税の決定や統計の収集に役立ちます。"
"エンドユースとファンクションの違いは何ですか？","エンドユースは製品の最終的な使用目的や用途を指し、ファンクションは製品が具体的に果たす役割や機能を指します。例えば、タイヤのエンドユースは車両の移動性であり、ファンクションは牽引力とサポートの提供です。"
"情報抽出時のペナルティはどのように適用されますか？","メーカーのホームページ以外から情報を抽出した場合、誤った情報を記録した場合、誤ったセルに情報を入力した場合などにペナルティが課せられます。ペナルティの金額は修正箇所に応じて異なります。"
"予備知識として必要な用語を教えてください。","以下の用語に慣れてください：
- 化学名：広く使用・認識されているが、化学構造に関する詳細情報を提供しない名前。
- 製品名：メーカーが割り当てた製品ブランド名。
- グレード名：化学品の純度や品質に基づく分類名。
- CAS番号：化学物質に割り当てられた一意の識別子。
- イオニシティ：化学結合がイオン性である度合い。"
"作業手順の概要を教えてください。","1. EntrySheetにアクセスします。すべてのタスクはMicrosoft TeamsのEntrySheetで準備されています。
2. 指定されたメーカーのウェブサイトを訪問します。Column Aにはメーカーの製品ページへのリンクが含まれています。リンクがない場合はメーカーのウェブサイトをGoogleで検索します。
3. メーカーのウェブサイトから製品情報を抽出し、EntrySheetに入力します。"
"化学名と製品名の違いは何ですか？","化学名は広く使用・認識されているが、化学構造に関する詳細情報を提供しない名前です。製品名はメーカーが割り当てた製品ブランド名です。"
"CAS番号の正確な確認方法を教えてください。","提供されたCAS番号が正しいかどうかをメーカーのウェブサイトや信頼できるサイト（Sigma Aldrich、TCI、Wako、NITE CHRIP）で確認します。Wikipediaの使用は禁止されています。"
"Packing Type & Net Weightの入力方法を教えてください。","Packing Typeは提供されたオプションから選択し、メーカーのウェブサイトと一致させます。Net Weightは各パッケージの重量をキログラム単位で入力します。情報が正確でない場合は報酬が支払われず、ペナルティが課せられます。"
"情報抽出時に注意すべき点は何ですか？","- Anhydrous（無水）とHydrate（水和）形態を混同しないこと。
- 化学式を化学名フィールドに入力しないこと。
- メーカーが特定の製品名を割り当てていない場合は、製品名フィールドを空白にすること。"
"作業例を教えてください。","例1: ADEKA CorporationのADK STAB 1413（https://www.adeka.co.jp/en/chemical/products/plastic/pro115c.html）
例2: Kansai Catalyst Co. Ltd.のCobalt Nitrate（https://www.nihonkagakusangyo.co.jp/en/chemicals/category/copper-compounds/）"
"コミュニケーションの方法を教えてください。","全体的なアナウンスメントとメンション機能を活用して、「BCJ Partnership Team」チャンネルでリマインダーを強化します。リマインダーボットがタスクの締め切りを通知します。"
"非コミュニケーションの結果は何ですか？","期限を守らず事前の連絡がない場合、1週間後に解雇される可能性があります。Teamsが主要なコミュニケーションプラットフォームであり、外部サイト（例: Upwork）の使用は禁止されています。"
"タスク完了後の確認はどうなりますか？","タスク完了後、レビュー担当チームが入力情報を確認します。エラーが見つかった場合、指定されたセルに応じて報酬が差し引かれます。"
